Name,Team,Type,ValueinCR,Full Name,Age,National Side,Batting Style,Bowling,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Captaincy
Anmolpreet Singh,MI,Batsman ,0.2,Anmolpreet Singh,"23 Years, 11 Months, 18 Days",India,Right Handed,Off break,1,1,0,16,16 v CSK,0,0,2,1,16,114.28,,,0,0,,,,,,,,,,,,,0
Anukul Roy,KKR,All-Rounder ,0.2,Anukul Sudhakar Roy,"23 Years, 3 Months, 15 Days",India,Left Handed,Slow left-arm orthodox,1,0,0,,,0,0,0,0,,0,,,0,0,1,2,0,11,1,1/11 v CSK,0,0,11,5.5,12,1,0
Ishan Porel,PBKS,Bowler ,0.25,Ishan Chandranath Porel,"23 Years, 6 Months, 10 Days",India,Right Handed,Right-arm medium,1,0,0,,,0,0,0,0,,0,,,0,0,1,4,0,39,1,1/39 v RR,0,0,39,9.75,24,1,0
Kuldip Yadav,RR,Bowler ,0.2,Kuldip Yadav,"25 Years, 5 Months, 0 Days",India,Left Handed,Left-arm medium fast,1,1,1,0,0* v MI,0,0,0,0,,0,,,1,0,1,2,0,16,0,0/16 v MI,0,0,,8,,1,0
Mark Wood,LSG,Bowler ,7.5,Mark Andrew Wood,"32 Years, 2 Months, 4 Days",England,Right Handed,Right-arm fast,1,1,0,1,1 v MI,0,0,0,0,1,33.33,1,0,0,0,1,4,0,49,0,0/49 v MI,0,0,,12.25,,1,0
Rasikh Dar,KKR,Bowler ,0.2,Rasikh Salam Dar,"20 Years, 11 Months, 10 Days",India,Right Handed,Right-arm medium,1,1,1,5,5* v DC,0,0,0,0,,125,1,0,0,0,1,4,0,42,0,0/42 v DC,0,0,,10.5,,1,0
Tejas Baroka,RR,Bowler ,0.2,Tejas Singh Baroka,"26 Years, 1 Months, 12 Days",India,Right Handed,Leg break googly,1,0,0,,,0,0,0,0,,0,,,0,0,1,3.3,0,33,0,0/33 v SRH,0,0,,9.42,,1,0
Tim David,MI,All-Rounder ,8.25,Timothy Hays David,"26 Years, 0 Months, -1 Days",Singapore,Right Handed,Off break,1,1,0,1,1 v CSK,0,0,0,0,1,33.33,,,0,0,,,,,,,,,,,,,0
Tim Seifert,DC,Wicket-Keeper ,0.5,Tim Louis Seifert,"27 Years, 3 Months, 1 Days",New Zealand,Right Handed,,1,1,0,2,2 v PBKS,0,0,0,0,2,50,,,0,1,,,,,,,,,,,,,0
Anuj Rawat,RCB,Wicket-Keeper ,3.4,Anuj Rawat,"22 Years, 5 Months, -1 Days",India,Left Handed,,2,1,0,0,0 v KKR,0,0,0,0,0,0,3,0,1,0,,,,,,,,,,,,,0
