MatchPlayed,InningsBatted,RunsScored,100s,50s,BattingAVG,BattingS/R,CatchesTaken,InningsBowled,EconomyRate,Maidens,Wickets,BowlingAVG,3s,5s,Captaincy
200,151,2386.0,0,2,27.11,128.14,81.0,171.0,7.61,2.0,127.0,30.04,8.0,1.0,0
1,1,1.0,0,0,1.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,10,181.0,0,0,22.62,119.86,1.0,6.0,7.4,0.0,1.0,74.0,0.0,0.0,0
3,0,0.0,0,0,0.0,0.0,2.0,3.0,9.5,0.0,2.0,47.5,0.0,0.0,0
56,49,914.0,0,4,27.69,135.81,12.0,45.0,9.5,0.0,30.0,32.3,2.0,0.0,0
12,8,61.0,0,0,8.71,92.42,1.0,12.0,9.24,0.0,8.0,38.12,1.0,0.0,0
80,61,785.0,0,3,16.7,129.53,32.0,28.0,8.45,0.0,9.0,50.88,0.0,0.0,0
34,32,666.0,0,4,22.96,146.37,11.0,27.0,6.84,0.0,16.0,29.31,1.0,0.0,0
4,3,6.0,0,0,6.0,50.0,2.0,3.0,8.18,1.0,1.0,90.0,0.0,0.0,0
19,5,40.0,0,0,10.0,111.11,6.0,19.0,6.86,0.0,8.0,52.37,0.0,0.0,0
178,160,3268.0,0,16,29.98,149.77,96.0,101.0,8.78,0.0,65.0,31.61,2.0,0.0,0
84,72,1143.0,0,1,22.86,138.54,28.0,81.0,7.36,0.0,51.0,34.76,4.0,0.0,0
97,93,2018.0,0,12,25.22,151.84,35.0,56.0,8.55,0.0,22.0,41.59,0.0,0.0,1
3,1,7.0,0,0,0.0,53.84,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0
37,26,316.0,0,2,19.75,140.44,7.0,37.0,8.23,1.0,38.0,30.13,2.0,0.0,0
109,78,953.0,0,0,17.32,125.23,44.0,108.0,7.22,2.0,95.0,29.07,3.0,0.0,0
