MatchPlayed,InningsBatted,RunsScored,100s,50s,BattingAVG,BattingS/R,CatchesTaken,InningsBowled,EconomyRate,Maidens,Wickets,BowlingAVG,3s,5s,Captaincy
11,7,22.0,0,0,5.5,66.66,4.0,10.0,9.14,0.0,5.0,51.2,0.0,0.0,0
41,32,511.0,0,2,21.29,121.09,19.0,6.0,7.46,0.0,5.0,19.4,0.0,0.0,0
92,85,1476.0,0,4,27.33,153.91,53.0,60.0,9.06,0.0,42.0,31.26,3.0,0.0,0
13,8,60.0,0,0,8.57,111.11,5.0,8.0,6.8,0.0,9.0,15.11,1.0,0.0,0
24,9,64.0,0,0,9.14,112.28,9.0,24.0,9.12,0.0,25.0,27.92,2.0,0.0,0
10,10,370.0,0,4,41.11,128.47,7.0,4.0,8.11,0.0,3.0,23.0,0.0,0.0,0
9,9,112.0,0,0,14.0,125.84,7.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0
26,17,153.0,0,0,21.85,113.33,6.0,25.0,7.86,1.0,18.0,35.55,0.0,0.0,0
2,2,0.0,0,0,0.0,0.0,1.0,2.0,7.5,0.0,2.0,22.5,0.0,0.0,0
63,28,187.0,0,0,11.0,134.53,15.0,61.0,8.58,0.0,78.0,23.17,6.0,1.0,0
2,2,1.0,0,0,1.0,50.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0
39,14,24.0,0,0,3.42,61.53,6.0,39.0,8.79,1.0,35.0,33.57,3.0,0.0,0
167,63,456.0,0,0,11.12,109.88,37.0,164.0,6.91,4.0,145.0,27.8,6.0,0.0,0
47,39,712.0,0,3,26.37,126.24,21.0,20.0,8.62,0.0,9.0,36.55,0.0,0.0,0
24,22,399.0,0,1,22.16,120.54,5.0,11.0,8.29,0.0,4.0,32.5,0.0,0.0,0
7,5,68.0,0,0,34.0,93.15,5.0,5.0,7.21,0.0,4.0,25.25,0.0,0.0,0
42,26,217.0,0,0,13.56,111.28,9.0,41.0,6.93,1.0,27.0,32.11,2.0,0.0,0
151,107,1537.0,0,5,22.94,130.25,77.0,148.0,8.36,2.0,167.0,24.31,12.0,0.0,0
24,19,186.0,0,0,14.3,169.09,10.0,24.0,8.26,0.0,13.0,43.23,0.0,0.0,0
2,2,25.0,0,0,25.0,92.59,0.0,1.0,7.33,0.0,0.0,0.0,0.0,0.0,0
17,14,180.0,0,0,15.0,151.26,11.0,17.0,7.13,0.0,13.0,31.38,0.0,0.0,0
26,9,48.0,0,0,6.85,97.95,12.0,26.0,8.29,2.0,25.0,28.6,0.0,0.0,0
5,3,6.0,0,0,3.0,75.0,3.0,5.0,8.5,0.0,1.0,153.0,0.0,0.0,0
35,23,195.0,0,0,15.0,157.25,9.0,35.0,7.13,2.0,46.0,21.32,6.0,0.0,0
22,20,241.0,0,0,17.21,139.3,5.0,14.0,8.0,0.0,7.0,25.14,0.0,0.0,0
26,16,189.0,0,0,14.53,121.15,7.0,26.0,8.2,0.0,35.0,22.45,5.0,0.0,0
1,0,0.0,0,0,0.0,0.0,0.0,1.0,5.5,0.0,1.0,11.0,0.0,0.0,0
77,71,1820.0,0,13,28.43,132.46,15.0,16.0,8.03,0.0,7.0,22.0,0.0,0.0,0
134,76,954.0,0,4,15.63,161.69,21.0,133.0,6.74,3.0,143.0,24.53,6.0,1.0,0
6,2,32.0,0,0,32.0,139.13,2.0,6.0,7.0,0.0,6.0,24.5,0.0,0.0,0
10,6,84.0,0,0,0.0,120.0,2.0,10.0,7.12,1.0,5.0,45.6,1.0,0.0,0
40,28,441.0,0,1,23.21,138.24,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0
7,7,73.0,0,0,14.6,135.18,5.0,6.0,8.63,0.0,1.0,59.0,0.0,0.0,0
30,23,339.0,0,1,16.95,118.53,12.0,15.0,9.96,0.0,3.0,73.66,0.0,0.0,0
84,70,1700.0,0,9,29.31,178.57,25.0,76.0,9.04,0.0,72.0,26.4,6.0,1.0,0
21,15,225.0,0,0,17.3,114.21,7.0,19.0,7.89,0.0,20.0,21.0,0.0,0.0,0
11,10,153.0,0,0,21.85,134.21,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
