MatchPlayed,InningsBatted,RunsScored,100s,50s,BattingAVG,BattingS/R,CatchesTaken,Captaincy
73,66,1480.0,0,10,24.26,128.36,22.0,0
13,13,289.0,0,1,22.23,136.32,4.0,0
207,199,6283.0,5,42,37.39,129.94,84.0,1
6,6,146.0,0,0,29.2,122.68,3.0,0
58,55,1417.0,0,10,31.48,123.0,23.0,0
23,18,222.0,0,0,15.85,146.05,13.0,0
53,49,1054.0,0,3,22.42,130.6,13.0,0
192,191,5784.0,2,44,34.84,126.64,82.0,0
62,60,1385.0,0,7,26.13,136.31,23.0,0
6,6,148.0,0,0,24.66,125.42,2.0,0
63,62,1885.0,0,17,40.1,131.26,29.0,1
193,186,4722.0,0,25,27.94,130.15,87.0,0
100,95,2131.0,1,11,23.41,135.47,40.0,0
150,150,5449.0,4,50,41.59,139.96,68.0,1
213,208,5611.0,1,40,31.17,130.39,90.0,1
115,100,2341.0,0,13,28.9,135.71,55.0,0
89,86,1974.0,1,10,32.9,136.51,53.0,0
29,29,884.0,1,6,31.57,125.03,15.0,0
10,8,77.0,0,0,11.0,101.31,6.0,0
151,141,3941.0,2,28,31.52,121.33,58.0,1
22,22,839.0,1,7,46.61,132.12,10.0,0
