MatchPlayed,InningsBowled,EconomyRate,Wickets,BowlingAVG,3s,5s,CatchesTaken,Captaincy
20,20.0,9.79,17.0,40.82,1.0,0.0,4.0,0
24,24.0,8.23,20.0,34.4,0.0,0.0,3.0,0
1,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0
34,34.0,7.86,26.0,33.88,2.0,0.0,7.0,0
72,70.0,7.56,48.0,37.16,1.0,0.0,16.0,0
43,43.0,8.67,31.0,44.77,2.0,0.0,19.0,0
1,1.0,12.25,0.0,0.0,0.0,0.0,1.0,0
23,23.0,8.78,30.0,22.3,3.0,1.0,6.0,0
121,120.0,8.51,119.0,30.07,12.0,0.0,29.0,0
31,31.0,6.82,36.0,23.3,1.0,1.0,4.0,0
3,3.0,10.03,6.0,14.5,0.0,1.0,1.0,0
106,106.0,7.42,130.0,23.05,14.0,0.0,13.0,0
114,113.0,7.59,139.0,22.28,9.0,0.0,24.0,0
54,54.0,8.58,58.0,29.24,3.0,0.0,8.0,0
5,5.0,9.94,4.0,42.25,0.0,0.0,0.0,0
76,76.0,6.33,93.0,20.55,10.0,0.0,20.0,0
63,63.0,7.8,59.0,29.18,3.0,0.0,12.0,0
99,99.0,7.77,112.0,25.43,9.0,0.0,12.0,0
132,132.0,7.3,142.0,25.26,9.0,1.0,27.0,0
9,9.0,9.62,7.0,44.0,0.0,0.0,7.0,0
14,14.0,9.41,13.0,37.76,0.0,0.0,3.0,0
11,11.0,9.66,8.0,43.5,0.0,0.0,3.0,0
77,77.0,8.62,79.0,30.4,6.0,0.0,11.0,0
14,14.0,8.29,25.0,17.92,3.0,0.0,2.0,0
1,1.0,9.75,1.0,39.0,0.0,0.0,0.0,0
38,37.0,7.52,48.0,21.91,5.0,0.0,12.0,0
18,18.0,8.54,16.0,28.31,1.0,0.0,3.0,0
50,48.0,8.89,42.0,34.02,1.0,0.0,3.0,0
50,50.0,8.21,76.0,20.52,4.0,0.0,23.0,0
22,22.0,8.11,24.0,27.0,2.0,0.0,3.0,0
34,34.0,9.26,30.0,38.4,2.0,0.0,7.0,0
48,47.0,8.03,48.0,25.97,4.0,0.0,11.0,0
1,1.0,9.42,0.0,0.0,0.0,0.0,0.0,0
38,38.0,7.83,38.0,29.5,3.0,0.0,5.0,0
24,24.0,7.65,34.0,20.55,2.0,0.0,5.0,0
3,3.0,8.18,1.0,90.0,0.0,0.0,0.0,0
1,1.0,10.5,0.0,0.0,0.0,0.0,1.0,0
29,29.0,9.23,24.0,33.91,1.0,1.0,4.0,0
24,24.0,8.68,32.0,24.56,6.0,0.0,1.0,0
25,25.0,8.23,29.0,25.82,4.0,0.0,5.0,0
