MatchPlayed,InningsBatted,RunsScored,100s,50s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Captaincy
213,192,4046.0,0,19,25.77,129.72,123.0,32.0,1
94,85,3273.0,2,27,47.43,136.37,50.0,5.0,1
84,84,2498.0,1,15,35.18,147.46,56.0,14.0,1
5,5,50.0,0,0,10.0,90.9,2.0,0.0,0
22,19,334.0,0,3,17.57,133.6,13.0,0.0,0
3,3,22.0,0,0,7.33,66.66,0.0,0.0,0
133,108,2110.0,1,8,24.53,128.73,69.0,20.0,0
220,193,4746.0,0,23,39.55,135.83,126.0,39.0,1
2,1,0.0,0,0,0.0,0.0,3.0,0.0,0
61,56,1452.0,0,9,28.47,136.33,19.0,2.0,0
8,7,191.0,0,1,38.2,122.43,4.0,1.0,0
175,164,3916.0,1,21,29.44,127.47,58.0,2.0,0
121,117,3068.0,3,15,29.21,134.2,59.0,10.0,1
3,3,19.0,0,0,6.33,73.07,0.0,2.0,0
